[2026-04-03T05:30:09.276Z] GET http://localhost:3000/ → 200 (63ms, ?B)
[2026-04-03T05:30:09.347Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.3f30ggp2vw8zj.woff2 → pending (?ms, ?B)
[2026-04-03T05:30:09.347Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.400zotvijr2rn.woff2 → pending (?ms, ?B)
[2026-04-03T05:30:09.347Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fquilliam-hero%2F800%2F1000&w=640&q=75 → pending (?ms, ?B)
[2026-04-03T05:30:09.347Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fquilliam-hero%2F800%2F400&w=1920&q=75 → pending (?ms, ?B)
[2026-04-03T05:30:09.347Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__04kpziu._.css → pending (?ms, ?B)
[2026-04-03T05:30:09.347Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1swe1pq._.js → pending (?ms, ?B)
[2026-04-03T05:30:09.347Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → pending (?ms, ?B)
[2026-04-03T05:30:09.347Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → pending (?ms, ?B)
[2026-04-03T05:30:09.347Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → pending (?ms, ?B)
[2026-04-03T05:30:09.347Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → pending (?ms, ?B)
[2026-04-03T05:30:09.347Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js → pending (?ms, ?B)
[2026-04-03T05:30:09.348Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_0td08b2._.js → pending (?ms, ?B)
[2026-04-03T05:30:09.348Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → pending (?ms, ?B)
[2026-04-03T05:30:09.348Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → pending (?ms, ?B)
[2026-04-03T05:30:09.348Z] GET http://localhost:3000/_next/static/chunks/turbopack-_06rjnlx._.js → pending (?ms, ?B)
[2026-04-03T05:30:09.348Z] GET http://localhost:3000/_next/static/chunks/node_modules_11llhag._.js → pending (?ms, ?B)
[2026-04-03T05:30:09.348Z] GET http://localhost:3000/_next/static/chunks/src_10tka9u._.js → pending (?ms, ?B)
[2026-04-03T05:30:09.348Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_1kt6ooj._.js → pending (?ms, ?B)
[2026-04-03T05:30:09.348Z] GET http://localhost:3000/_next/static/chunks/node_modules_1bpao1h._.js → pending (?ms, ?B)
[2026-04-03T05:30:09.348Z] GET http://localhost:3000/_next/static/chunks/src_components_0xwfln5._.js → pending (?ms, ?B)
[2026-04-03T05:30:09.349Z] GET http://localhost:3000/_next/static/chunks/src_app_page_tsx_19mqsku._.js → pending (?ms, ?B)
[2026-04-03T05:30:09.349Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_19mqsku.js → pending (?ms, ?B)
[2026-04-03T05:30:09.391Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Faudit-work%2F800%2F600&w=750&q=75 → 200 (493ms, 14792B)
[2026-04-03T05:30:09.391Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fbuild-auto%2F600%2F400&w=640&q=75 → 200 (608ms, 28860B)
[2026-04-03T05:30:09.391Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fwin-results%2F600%2F400&w=640&q=75 → 200 (322ms, 18796B)
[2026-04-03T05:30:09.391Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Ftraining-work%2F700%2F500&w=640&q=75 → 200 (412ms, 74816B)
[2026-04-03T05:30:09.392Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fautomation-dash%2F700%2F500&w=640&q=75 → 200 (744ms, 14860B)
[2026-04-03T05:30:09.392Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fdigital-web%2F700%2F500&w=640&q=75 → 200 (636ms, 21376B)
[2026-04-03T05:30:09.472Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (304ms, 15461B)
[2026-04-03T05:30:09.473Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_00e1dbr._.js → 200 (306ms, 289B)
[2026-04-03T05:31:24.792Z] GET http://localhost:3000/ → 200 (43ms, 125183B)
[2026-04-03T05:31:24.839Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.3f30ggp2vw8zj.woff2 → 200 (?ms, ?B)
[2026-04-03T05:31:24.839Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.400zotvijr2rn.woff2 → 200 (?ms, ?B)
